subject, type, classifier, precision, precision std, recall, recall std, f1, f1 std ,
020211el,1000, SVM (linear),0.650731121,0.006787051,0.65,0.006512346,0.632789283,0.00661597,0.650365355
020211el,1000, SVM (rbf),0.451595719,0.013115746,0.483333333,0.007438272,0.450502224,0.00973498,0.466925835
020211el,1000, GNB,0.369608474,0.0067941,0.366666667,0.004907407,0.333218457,0.006451633,0.368131693
020211el,1000, NN,0.58845178,0.00510647,0.566666667,0.003734568,0.551988426,0.004230838,0.577353794
020211el,2000, SVM (linear),0.631709957,0.006281249,0.633333333,0.009845679,0.61456784,0.009641982,0.632520603
020211el,2000, SVM (rbf),0.545996712,0.017428848,0.538888889,0.01345679,0.518370064,0.015991181,0.542419516
020211el,2000, GNB,0.435675829,0.014978922,0.416666667,0.007716049,0.384863221,0.010675539,0.425959274
020211el,2000, NN,0.662284151,0.009143106,0.638888889,0.004783951,0.619810255,0.004976083,0.650376195
020211el,3000, SVM (linear),0.611819292,0.004520679,0.602777778,0.00849537,0.584706441,0.007950284,0.607264882
020211el,3000, SVM (rbf),0.536297357,0.006963381,0.488888889,0.005740741,0.477867245,0.005913519,0.51149695
020211el,3000, GNB,0.423369838,0.02018372,0.416666667,0.008333333,0.381414331,0.011270975,0.419991508
020211el,3000, NN,0.619623941,0.011008385,0.605555556,0.00367284,0.583752363,0.006449849,0.612508977
020211el, shuffle, SVM (linear),0.625031317,0.000795899,0.612222222,0.000825926,0.610320773,0.000799429,0.618560465
020211el, shuffle, SVM (rbf),0.508285057,0.00173378,0.497222222,0.001162037,0.492034752,0.001259728,0.502692782
020211el, shuffle, GNB,0.4264692,0.001359963,0.411666667,0.001039815,0.406551982,0.000904739,0.418937218
020211el, shuffle, NN,0.509920889,0.003214152,0.526111111,0.001704012,0.51077053,0.002251433,0.517889496
020211el, evenEpoch, SVM (linear),0.487910451,9.91E-05,0.491666667,0.000625,0.474087506,0.000288534,0.489781357
020211el, evenEpoch, SVM (rbf),0.410825254,0.003568458,0.375,0.002785494,0.384288685,0.002939876,0.392096002
020211el, evenEpoch, GNB,0.330139168,0.001447701,0.302777778,0.001736111,0.300341901,0.002478244,0.315867048
020211el, evenEpoch, NN,0.475186106,0.00096213,0.497222222,0.001736111,0.466999648,0.001494646,0.48595448
020211el, unfiltered, SVM (linear),0.548862434,0.011543579,0.541666667,0.008834877,0.52522496,0.010323519,0.54524081
020211el, unfiltered, SVM (rbf),0.328212695,0.032290729,0.336111111,0.01025463,0.289618167,0.018054528,0.332114949
020211el, unfiltered, GNB,0.421804651,0.005823299,0.383333333,0.00382716,0.371991694,0.0038379,0.401649869
020211el, unfiltered, NN,0.574901302,0.023011456,0.577777778,0.010925926,0.551208365,0.015537181,0.576335951
020211el, unrolled, SVM (linear),0.459722222,0.041915509,0.55,0.050277778,0.487222222,0.044123765,0.500825309
020211el, unrolled, SVM (rbf),0.208611111,0.024457485,0.333333333,0.022222222,0.24,0.025406173,0.256620536
020211el, unrolled, GNB,0.455555556,0.044513889,0.583333333,0.034722222,0.493888889,0.041978086,0.511586453
020211el, unrolled, NN,0.411666667,0.029669444,0.483333333,0.035833333,0.433333333,0.031975309,0.444630664
020211el, untimed, SVM (linear),0.542825878,0.012438038,0.538888889,0.013148148,0.521602512,0.01335755,0.540850219
020211el, untimed, SVM (rbf),0.286508341,0.014928498,0.291666667,0.007908951,0.242034666,0.01284859,0.289064493
020211el, untimed, GNB,0.368421856,0.00693873,0.327777778,0.003364198,0.318587466,0.004026476,0.346913418
020211el, untimed, NN,0.536847273,0.017513792,0.55,0.014320988,0.527371469,0.015236422,0.543344051
020211el, cortex, SVM (linear),0.389223184,0.004119333,0.391666667,0.003773148,0.372702611,0.003214827,0.390441102
020211el, cortex, SVM (rbf),0.138491571,0.018996868,0.227777778,0.007530864,0.130487676,0.013281031,0.172251937
020211el, cortex, GNB,0.289768472,0.011190915,0.325,0.011736111,0.278530565,0.012656922,0.306374701
020211el, cortex, NN,0.406682808,0.00222445,0.405555556,0.004197531,0.380660125,0.003011972,0.4061184
